"from";"to"
"stat";"11000002"
"12006399";"12006402"
"12006399";"12006401"
"12006399";"12006404"
"12006399";"12006400"
"12006399";"12006406"
"12006399";"12006405"
"12006574";"12006576"
"12006574";"12006575"
"12006422";"12010905"
"12006422";"12006424"
"12006422";"12010906"
"12006422";"12006423"
"12006422";"12006425"
"12006422";"12006426"
"12006422";"12010907"
"12006513";"12006514"
"12006513";"12006515"
"12006513";"12012540"
"12006513";"12012539"
"12006519";"12006526"
"12006519";"12006527"
"12006519";"12006528"
"12006519";"12006525"
"12006519";"12006529"
"12006519";"12012186"
"12006519";"12006524"
"12006519";"12006523"
"12006519";"12006520"
"12006519";"12006521"
"12006519";"12006522"
"12011733";"12011736"
"12011733";"12011735"
"12011733";"12011734"
"12006412";"12006415"
"12006412";"12006414"
"12006412";"12006413"
"12006427";"12006428"
"12006427";"12006429"
"12006427";"12011719"
"12006455";"12006456"
"12006455";"12006457"
"12006470";"12006474"
"12006470";"12006471"
"12006470";"12006473"
"12006470";"12006472"
"12006500";"12006501"
"12006500";"12006502"
"12006500";"12006503"
"12012535";"12012536"
"12012535";"12012537"
"12006407";"12006408"
"12006407";"12006409"
"12006407";"12006410"
"12006407";"12006411"
"12006430";"12006434"
"12006430";"12006433"
"12006430";"12006432"
"12006430";"12006431"
"12006435";"12006436"
"12006435";"12006437"
"12006435";"12006438"
"12006435";"12006439"
"12012525";"12012526"
"12012525";"12012527"
"12012525";"12012528"
"12012525";"12012529"
"12012525";"12012530"
"12012531";"12012534"
"12012531";"12012533"
"12012531";"12012532"
"12006530";"12011084"
"12006530";"12006533"
"12006530";"12006532"
"12006530";"12006531"
"12006538";"12006539"
"12006538";"12006540"
"12006538";"12006541"
"12006538";"12006542"
"12006538";"12006543"
"12006538";"12006544"
"12006552";"12006557"
"12006552";"12006556"
"12006552";"12006555"
"12006552";"12006553"
"12006552";"12006554"
"12006440";"12011720"
"12006440";"12006441"
"12006440";"12006442"
"12006440";"12006443"
"12006464";"12006465"
"12006464";"12006466"
"12006464";"12006467"
"12006464";"12006468"
"12006464";"12006469"
"12006516";"12006518"
"12006516";"12006517"
"12006504";"12006506"
"12006504";"12006505"
"12006510";"12006511"
"12006510";"12006512"
"12011096";"12011102"
"12011096";"12011101"
"12011096";"12011100"
"12011096";"12011099"
"12011096";"12011098"
"12011096";"12011097"
"12006448";"12006449"
"12006448";"12006450"
"12006448";"12012538"
"12006489";"12006494"
"12006489";"12006493"
"12006489";"12006492"
"12006489";"12006491"
"12006489";"12006490"
"12006507";"12006509"
"12006507";"12006508"
"12011092";"12011094"
"12011092";"12011093"
"12011248";"12011271"
"12011248";"12011250"
"12011248";"12011249"
"12006451";"12006452"
"12006451";"12006453"
"12006451";"12006454"
